,world_rank,institution,country,national_rank,quality_of_education,alumni_employment,publications,influence,citations,patents,score,year
186,87,National University of Singapore,Singapore,1,101.0,101,44.0,101.0,50.0,27.0,45.2,2013
273,74,National University of Singapore,Singapore,1,355.0,99,37.0,136.0,114.0,23.0,53.52,2014
347,148,Nanyang Technological University,Singapore,2,355.0,478,110.0,387.0,220.0,26.0,49.35,2014
482,283,Chulalongkorn University,Thailand,1,355.0,51,580.0,752.0,406.0,737.0,46.55,2014
749,550,Mahidol University,Thailand,2,355.0,478,479.0,366.0,406.0,737.0,44.96,2014
1070,871,Chiang Mai University,Thailand,3,355.0,478,838.0,706.0,609.0,737.0,44.43,2014
1264,65,National University of Singapore,Singapore,1,367.0,98,34.0,125.0,78.0,25.0,53.44,2015
1334,135,Nanyang Technological University,Singapore,2,367.0,567,102.0,361.0,212.0,32.0,49.29,2015
1510,311,Chulalongkorn University,Thailand,1,367.0,57,584.0,734.0,511.0,871.0,45.86,2015
1731,532,Mahidol University,Thailand,2,367.0,567,476.0,372.0,368.0,861.0,44.69,2015
2017,818,Chiang Mai University,Thailand,3,367.0,550,847.0,753.0,511.0,871.0,44.21,2015
